"items","support","count"
"{依賴_低,自學_高}",0.18898,9449
"{依賴_低,技能=Intermediate}",0.18898,9449
"{AI時數_高,付費=是}",0.18814,9407
"{付費=否,自學_低}",0.18692,9346
"{技能=Beginner,政策=Allowed_With_Citation}",0.1863,9315
"{AI時數_高,依賴_高}",0.18626,9313
"{GPA_上升,付費=否}",0.18592,9296
"{GPA_持平,依賴_低}",0.18116,9058
"{依賴_低,自學_中}",0.17936,8968
"{依賴_低,焦慮_中}",0.17882,8941
"{技能=Intermediate,政策=Allowed_With_Citation}",0.17882,8941
"{政策=Allowed_With_Citation,焦慮_中}",0.17628,8814
"{GPA_上升,依賴_低}",0.17604,8802
"{GPA_下降,依賴_低}",0.1759,8795
"{付費=是,倦怠=Medium}",0.17306,8653
"{付費=否,政策=Actively_Encouraged}",0.17274,8637
"{用途=Summarizing_Reading}",0.17266,8633
"{GPA_上升,政策=Allowed_With_Citation}",0.1725,8625
"{AI時數_低,政策=Allowed_With_Citation}",0.17002,8501
"{GPA_持平,政策=Allowed_With_Citation}",0.16966,8483
"{政策=Allowed_With_Citation,自學_低}",0.16902,8451
"{AI時數_高,政策=Allowed_With_Citation}",0.16852,8426
"{政策=Allowed_With_Citation,自學_中}",0.16834,8417
"{GPA_下降,自學_低}",0.1672,8360
"{政策=Allowed_With_Citation,自學_高}",0.16712,8356
"{倦怠=Medium,焦慮_低}",0.167,8350
"{付費=否,依賴_低,政策=Allowed_With_Citation}",0.16656,8328
"{倦怠=Low,政策=Allowed_With_Citation}",0.1664,8320
"{AI時數_中,政策=Allowed_With_Citation}",0.16594,8297
"{依賴_低,自學_低}",0.16476,8238
"{AI時數_低,付費=否,依賴_低}",0.1636,8180
"{主修=STEM,付費=否}",0.1635,8175
"{GPA_上升,自學_高}",0.16318,8159
"{AI時數_高,倦怠=High}",0.16276,8138
"{AI時數_低,倦怠=Low}",0.16272,8136
"{GPA_下降,政策=Allowed_With_Citation}",0.16232,8116
"{依賴_低,政策=Actively_Encouraged}",0.15846,7923
"{付費=否,依賴_低,焦慮_低}",0.1566,7830
"{付費=否,技能=Advanced}",0.15652,7826
"{倦怠=Medium,技能=Beginner}",0.15646,7823
"{AI時數_中,倦怠=Medium}",0.15644,7822
"{主修=STEM,用途=Debugging/Troubleshooting}",0.15586,7793
"{付費=是,技能=Beginner}",0.15324,7662
"{AI時數_低,焦慮_低}",0.153,7650
"{主修=STEM,政策=Allowed_With_Citation}",0.15224,7612
"{付費=是,焦慮_低}",0.15206,7603
"{付費=是,技能=Intermediate}",0.15018,7509
"{倦怠=Medium,技能=Intermediate}",0.1492,7460
"{年級=Graduate}",0.1486,7430
"{付費=否,焦慮_高}",0.14838,7419
"{GPA_上升,付費=是}",0.14708,7354
"{付費=是,自學_低}",0.1469,7345
"{依賴_低,技能=Advanced}",0.14632,7316
"{主修=Business,付費=否}",0.14608,7304
"{倦怠=Medium,焦慮_中}",0.14564,7282
"{AI時數_高,付費=否}",0.14514,7257
"{GPA_上升,倦怠=Medium}",0.14464,7232
"{主修=STEM,依賴_低}",0.1438,7190
"{付費=否,依賴_低,倦怠=Medium}",0.14348,7174
"{倦怠=Medium,自學_高}",0.14314,7157
"{倦怠=Low,焦慮_低}",0.14312,7156
"{付費=是,焦慮_中}",0.14308,7154
"{付費=否,依賴_低,倦怠=Low}",0.143,7150
"{倦怠=Medium,自學_中}",0.1419,7095
"{技能=Beginner,焦慮_低}",0.14182,7091
"{付費=否,用途=Copywriting/Drafting}",0.14176,7088
"{付費=是,自學_中}",0.14118,7059
"{GPA_持平,倦怠=Medium}",0.14058,7029
"{付費=是,依賴_高}",0.13994,6997
"{AI時數_低,倦怠=Medium}",0.13964,6982
"{技能=Advanced,政策=Allowed_With_Citation}",0.13936,6968
"{AI時數_中,焦慮_低}",0.13904,6952
"{GPA_下降,付費=是}",0.13816,6908
"{付費=否,用途=Debugging/Troubleshooting}",0.13798,6899
"{GPA_持平,付費=是}",0.13784,6892
"{倦怠=Medium,自學_低}",0.13784,6892
"{主修=STEM,付費=是}",0.13768,6884
"{GPA_下降,倦怠=Medium}",0.13766,6883
"{依賴_高,政策=Allowed_With_Citation}",0.13642,6821
"{主修=Business,依賴_低}",0.13542,6771
"{技能=Intermediate,焦慮_低}",0.1352,6760
"{付費=是,自學_高}",0.135,6750
"{AI時數_高,自學_低}",0.134,6700
"{焦慮_低,自學_高}",0.1338,6690
"{GPA_下降,技能=Beginner}",0.13376,6688
"{依賴_低,用途=Copywriting/Drafting}",0.13324,6662
"{AI時數_高,焦慮_高}",0.1327,6635
"{GPA_上升,焦慮_低}",0.13,6500
"{主修=Medical}",0.12952,6476
"{GPA_持平,焦慮_低}",0.12866,6433
"{付費=否,年級=Junior}",0.12856,6428
"{AI時數_中,付費=否,依賴_低}",0.12852,6426
"{付費=否,倦怠=Medium,政策=Allowed_With_Citation}",0.12846,6423
"{付費=否,依賴_高}",0.12828,6414
"{AI時數_低,依賴_低,政策=Allowed_With_Citation}",0.12824,6412
"{付費=是,倦怠=High}",0.12796,6398
"{付費=是,焦慮_高}",0.12794,6397
"{AI時數_低,依賴_低,倦怠=Low}",0.12786,6393
"{依賴_低,政策=Allowed_With_Citation,焦慮_低}",0.1278,6390
"{AI時數_低,自學_高}",0.1276,6380
"{GPA_持平,技能=Beginner}",0.1276,6380
"{主修=Business,政策=Allowed_With_Citation}",0.12724,6362
"{AI時數_高,主修=STEM}",0.12722,6361
"{付費=是,政策=Actively_Encouraged}",0.12702,6351
"{GPA_下降,技能=Intermediate}",0.127,6350
"{焦慮_低,自學_中}",0.12694,6347
"{倦怠=Medium,政策=Actively_Encouraged}",0.12692,6346
"{倦怠=Low,自學_高}",0.12684,6342
"{用途=Direct_Answer_Generation}",0.1268,6340
"{AI時數_高,倦怠=Medium}",0.1268,6340
"{技能=Beginner,焦慮_中}",0.12648,6324
"{政策=Allowed_With_Citation,焦慮_高}",0.12626,6313
"{付費=否,年級=Freshman}",0.12602,6301
"{GPA_下降,焦慮_低}",0.1256,6280
"{AI時數_低,技能=Beginner}",0.12542,6271
"{依賴_高,倦怠=High}",0.12506,6253
"{政策=Allowed_With_Citation,用途=Debugging/Troubleshooting}",0.1248,6240
"{付費=否,依賴_低,技能=Beginner}",0.12472,6236
"{主修=STEM,倦怠=Medium}",0.12458,6229
"{技能=Beginner,自學_中}",0.12396,6198
"{依賴_低,用途=Debugging/Troubleshooting}",0.12394,6197
"{付費=否,用途=Ideation}",0.12392,6196
"{AI時數_中,技能=Beginner}",0.1239,6195
"{AI時數_低,依賴_低,焦慮_低}",0.1239,6195
"{付費=否,年級=Senior}",0.12388,6194
"{技能=Beginner,自學_低}",0.12374,6187
"{焦慮_低,自學_低}",0.12352,6176
"{倦怠=Low,技能=Beginner}",0.1223,6115
"{技能=Beginner,自學_高}",0.1222,6110
"{政策=Allowed_With_Citation,用途=Copywriting/Drafting}",0.1221,6105
"{付費=是,倦怠=Low}",0.12206,6103
"{付費=否,倦怠=High}",0.12178,6089
"{GPA_持平,技能=Intermediate}",0.1211,6055
"{AI時數_中,倦怠=Low}",0.12094,6047
"{技能=Intermediate,焦慮_中}",0.12076,6038
"{AI時數_高,技能=Beginner}",0.12058,6029
"{倦怠=High,政策=Allowed_With_Citation}",0.12022,6011
"{AI時數_低,GPA_下降}",0.1202,6010
"{主修=Humanities,付費=否}",0.12014,6007
"{主修=Business,用途=Ideation}",0.12006,6003
"{付費=是,技能=Advanced}",0.11966,5983
"{付費=否,政策=Allowed_With_Citation,焦慮_低}",0.11962,5981
"{AI時數_低,技能=Intermediate}",0.1196,5980
"{政策=Actively_Encouraged,焦慮_低}",0.11958,5979
"{GPA_持平,自學_中}",0.11942,5971
"{依賴_低,倦怠=Medium,政策=Allowed_With_Citation}",0.11908,5954
"{技能=Intermediate,自學_高}",0.119,5950
"{主修=Arts}",0.11866,5933
"{GPA_上升,技能=Advanced}",0.11864,5932
"{依賴_低,年級=Freshman}",0.11842,5921
"{付費=否,依賴_低,自學_高}",0.11818,5909
"{技能=Intermediate,自學_低}",0.118,5900
"{付費=否,依賴_中}",0.11792,5896
"{AI時數_低,付費=是}",0.11776,5888
"{依賴_低,年級=Junior}",0.11766,5883
"{AI時數_中,GPA_上升}",0.11758,5879
"{AI時數_中,技能=Intermediate}",0.11728,5864
"{倦怠=Medium,技能=Advanced}",0.11722,5861
"{AI時數_中,付費=是}",0.11718,5859
"{AI時數_中,焦慮_中}",0.11716,5858
"{付費=否,依賴_低,技能=Intermediate}",0.11706,5853
"{AI時數_高,技能=Intermediate}",0.11704,5852
"{技能=Intermediate,自學_中}",0.11692,5846
"{主修=Humanities,依賴_低}",0.11674,5837
"{AI時數_中,自學_高}",0.11666,5833
"{倦怠=Low,技能=Intermediate}",0.11658,5829
"{AI時數_高,GPA_上升}",0.11578,5789
"{依賴_低,用途=Ideation}",0.11526,5763
"{GPA_上升,焦慮_中}",0.1147,5735
"{依賴_低,年級=Senior}",0.1144,5720
"{AI時數_低,GPA_持平}",0.11404,5702
"{AI時數_低,焦慮_中}",0.1139,5695
"{焦慮_中,自學_中}",0.11382,5691
"{GPA_持平,焦慮_中}",0.11378,5689
"{付費=否,政策=Strict_Ban}",0.11376,5688
"{付費=否,年級=Sophomore}",0.11372,5686
"{焦慮_中,自學_高}",0.11342,5671
"{AI時數_中,GPA_持平}",0.11314,5657
"{GPA_下降,付費=否,依賴_低}",0.11308,5654
"{GPA_持平,倦怠=Low}",0.1127,5635
"{AI時數_中,自學_中}",0.11252,5626
"{依賴_低,倦怠=Low,政策=Allowed_With_Citation}",0.1125,5625
"{依賴_高,焦慮_高}",0.11248,5624
"{倦怠=Low,焦慮_中}",0.11228,5614
"{GPA_持平,付費=否,依賴_低}",0.11228,5614
"{焦慮_中,自學_低}",0.11218,5609
"{年級=Freshman,政策=Allowed_With_Citation}",0.11216,5608
"{年級=Junior,政策=Allowed_With_Citation}",0.11182,5591
"{GPA_上升,主修=STEM}",0.11166,5583
"{AI時數_高,GPA_下降}",0.11146,5573
"{技能=Beginner,政策=Actively_Encouraged}",0.11124,5562
"{GPA_下降,倦怠=Low}",0.1111,5555
"{GPA_下降,焦慮_中}",0.11094,5547
"{AI時數_高,付費=是,依賴_高}",0.11086,5543
"{AI時數_低,付費=否,政策=Allowed_With_Citation}",0.11082,5541
"{AI時數_高,自學_中}",0.11048,5524
"{付費=否,依賴_低,焦慮_中}",0.11028,5514
"{倦怠=Medium,焦慮_高}",0.11024,5512
"{付費=否,依賴_低,自學_中}",0.11022,5511
"{AI時數_低,自學_中}",0.11012,5506
"{AI時數_高,依賴_高,倦怠=High}",0.10982,5491
"{主修=STEM,焦慮_低}",0.10972,5486
"{依賴_低,倦怠=Medium,焦慮_低}",0.10944,5472
"{GPA_持平,自學_高}",0.10918,5459
"{付費=否,技能=Beginner,政策=Allowed_With_Citation}",0.10888,5444
"{GPA_上升,技能=Beginner}",0.10854,5427
"{主修=STEM,技能=Intermediate}",0.10846,5423
"{倦怠=Low,自學_中}",0.10838,5419
"{AI時數_高,焦慮_中}",0.10836,5418
"{政策=Allowed_With_Citation,用途=Ideation}",0.108,5400
"{付費=是,用途=Debugging/Troubleshooting}",0.10792,5396
"{GPA_上升,自學_中}",0.10782,5391
"{依賴_低,倦怠=Low,焦慮_低}",0.1074,5370
"{技能=Advanced,焦慮_低}",0.10724,5362
"{GPA_下降,年級=Freshman}",0.10672,5336
"{AI時數_中,付費=否,政策=Allowed_With_Citation}",0.1065,5325
"{AI時數_低,付費=否,倦怠=Low}",0.1064,5320
"{技能=Intermediate,政策=Actively_Encouraged}",0.10624,5312
"{依賴_低,政策=Strict_Ban}",0.10608,5304
"{AI時數_高,GPA_持平}",0.10604,5302
"{主修=Business,倦怠=Medium}",0.10588,5294
"{GPA_下降,自學_中}",0.10588,5294
"{GPA_上升,技能=Intermediate}",0.10582,5291
"{主修=STEM,自學_低}",0.10576,5288
"{GPA_上升,付費=否,依賴_低}",0.10536,5268
"{政策=Actively_Encouraged,焦慮_中}",0.1051,5255
"{依賴_低,焦慮_高}",0.10474,5237
"{主修=Business,付費=是}",0.10468,5234
"{年級=Senior,政策=Allowed_With_Citation}",0.10462,5231
"{GPA_持平,自學_低}",0.10462,5231
"{依賴_高,自學_低}",0.1043,5215
"{GPA_上升,用途=Debugging/Troubleshooting}",0.10418,5209
"{倦怠=High,自學_低}",0.10382,5191
"{付費=否,倦怠=Low,政策=Allowed_With_Citation}",0.10378,5189
"{主修=Humanities,用途=Copywriting/Drafting}",0.10376,5188
"{AI時數_中,自學_低}",0.10366,5183
"{GPA_上升,倦怠=Low}",0.10358,5179
"{倦怠=Medium,用途=Copywriting/Drafting}",0.10348,5174
"{付費=否,技能=Intermediate,政策=Allowed_With_Citation}",0.10318,5159
"{AI時數_低,依賴_低,倦怠=Medium}",0.1029,5145
"{依賴_低,年級=Sophomore}",0.10276,5138
"{倦怠=Medium,用途=Debugging/Troubleshooting}",0.10238,5119
"{付費=否,依賴_低,自學_低}",0.10232,5116
"{AI時數_中,GPA_下降}",0.10212,5106
"{付費=否,倦怠=Medium,焦慮_低}",0.10204,5102
"{付費=是,依賴_低,政策=Allowed_With_Citation}",0.102,5100
"{AI時數_中,付費=否,倦怠=Medium}",0.10198,5099
"{主修=Business,技能=Beginner}",0.1018,5090
"{技能=Beginner,焦慮_高}",0.1016,5080
"{倦怠=Low,政策=Actively_Encouraged}",0.10158,5079
"{主修=STEM,技能=Advanced}",0.10146,5073
"{主修=Humanities,政策=Allowed_With_Citation}",0.1013,5065
"{年級=Sophomore,政策=Allowed_With_Citation}",0.10082,5041
"{GPA_持平,政策=Actively_Encouraged}",0.10076,5038
"{GPA_上升,政策=Actively_Encouraged}",0.10068,5034
"{AI時數_高,政策=Actively_Encouraged}",0.10068,5034
"{依賴_高,倦怠=Medium}",0.10062,5031
"{付費=否,政策=Allowed_With_Citation,焦慮_中}",0.10026,5013
"{AI時數_低,政策=Actively_Encouraged}",0.10006,5003
"{政策=Actively_Encouraged,自學_高}",0.10004,5002
"{政策=Actively_Encouraged,自學_中}",0.09996,4998
"{付費=否,用途=Summarizing_Reading}",0.09978,4989
"{政策=Actively_Encouraged,自學_低}",0.09976,4988
"{AI時數_低,GPA_上升}",0.09964,4982
"{付費=否,政策=Allowed_With_Citation,自學_高}",0.09962,4981
"{AI時數_低,付費=否,焦慮_低}",0.09962,4981
"{主修=STEM,焦慮_中}",0.09956,4978
"{AI時數_中,依賴_低,政策=Allowed_With_Citation}",0.09956,4978
"{依賴_中,政策=Allowed_With_Citation}",0.0995,4975
"{依賴_低,技能=Beginner,政策=Allowed_With_Citation}",0.0993,4965
"{AI時數_中,政策=Actively_Encouraged}",0.09902,4951
"{GPA_持平,付費=否,政策=Allowed_With_Citation}",0.09896,4948
"{主修=STEM,自學_中}",0.09862,4931
"{付費=是,用途=Copywriting/Drafting}",0.09846,4923
"{GPA_下降,政策=Actively_Encouraged}",0.09832,4916
"{焦慮_高,自學_低}",0.09812,4906
"{技能=Intermediate,焦慮_高}",0.09796,4898
"{依賴_高,技能=Beginner}",0.09766,4883
"{主修=STEM,依賴_高}",0.09738,4869
"{付費=否,依賴_低,政策=Actively_Encouraged}",0.09736,4868
"{GPA_下降,焦慮_高}",0.09724,4862
"{主修=Business,焦慮_低}",0.09704,4852
"{主修=STEM,自學_高}",0.0968,4840
"{付費=否,政策=Allowed_With_Citation,自學_中}",0.09658,4829
"{AI時數_高,付費=是,倦怠=High}",0.09648,4824
"{GPA_下降,付費=否,自學_低}",0.09648,4824
"{GPA_下降,付費=否,政策=Allowed_With_Citation}",0.09622,4811
"{AI時數_低,自學_低}",0.09616,4808
"{AI時數_低,依賴_低,自學_高}",0.09616,4808
"{依賴_低,技能=Intermediate,政策=Allowed_With_Citation}",0.09612,4806
"{AI時數_高,技能=Advanced}",0.09566,4783
"{依賴_高,技能=Intermediate}",0.09554,4777
"{依賴_低,政策=Allowed_With_Citation,自學_高}",0.09548,4774
"{AI時數_高,付費=是,政策=Allowed_With_Citation}",0.09542,4771
"{倦怠=Medium,年級=Junior}",0.0954,4770
"{GPA_上升,付費=否,政策=Allowed_With_Citation}",0.09524,4762
"{GPA_下降,主修=STEM}",0.09484,4742
"{GPA_持平,主修=STEM}",0.09468,4734
"{付費=是,年級=Freshman}",0.0946,4730
"{AI時數_高,依賴_高,政策=Allowed_With_Citation}",0.0946,4730
"{GPA_上升,付費=否,自學_高}",0.0946,4730
"{AI時數_低,依賴_低,技能=Beginner}",0.09444,4722
"{付費=否,政策=Allowed_With_Citation,自學_低}",0.09422,4711
"{焦慮_低,用途=Copywriting/Drafting}",0.09418,4709
"{倦怠=High,焦慮_高}",0.0941,4705
"{付費=否,倦怠=Medium,技能=Beginner}",0.09382,4691
"{AI時數_中,依賴_低,焦慮_低}",0.09358,4679
"{GPA_持平,依賴_低,政策=Allowed_With_Citation}",0.09324,4662
"{技能=Beginner,用途=Copywriting/Drafting}",0.09316,4658
"{AI時數_中,主修=STEM}",0.09308,4654
"{付費=是,依賴_低,焦慮_低}",0.09294,4647
"{依賴_低,技能=Beginner,焦慮_低}",0.09286,4643
"{倦怠=Medium,年級=Senior}",0.09268,4634
"{焦慮_低,用途=Debugging/Troubleshooting}",0.0926,4630
"{GPA_下降,依賴_高}",0.09254,4627
"{依賴_低,用途=Summarizing_Reading}",0.0925,4625
"{AI時數_高,用途=Debugging/Troubleshooting}",0.09244,4622
"{焦慮_高,自學_中}",0.09236,4618
"{付費=是,年級=Junior}",0.09234,4617
"{技能=Advanced,自學_中}",0.09224,4612
"{AI時數_高,焦慮_低}",0.09222,4611
"{倦怠=Low,年級=Freshman}",0.0922,4610
"{技能=Advanced,焦慮_中}",0.09218,4609
"{倦怠=Low,自學_低}",0.09216,4608
"{技能=Advanced,自學_低}",0.09208,4604
"{主修=STEM,焦慮_高}",0.0919,4595
"{技能=Advanced,自學_高}",0.09186,4593
"{AI時數_中,技能=Advanced}",0.09166,4583
"{AI時數_中,依賴_低,倦怠=Medium}",0.0916,4580
"{倦怠=Medium,用途=Ideation}",0.09136,4568
"{主修=STEM,技能=Beginner}",0.09126,4563
"{AI時數_低,依賴_低,技能=Intermediate}",0.09122,4561
"{倦怠=High,技能=Beginner}",0.09114,4557
"{依賴_高,焦慮_中}",0.0909,4545
"{GPA_持平,焦慮_高}",0.09078,4539
"{GPA_上升,依賴_低,自學_高}",0.09076,4538
"{付費=是,用途=Ideation}",0.0905,4525
"{付費=否,倦怠=Low,焦慮_低}",0.09038,4519
"{依賴_中,倦怠=Medium}",0.09036,4518
"{主修=STEM,倦怠=High}",0.09034,4517
"{AI時數_中,付費=否,焦慮_低}",0.0903,4515
"{依賴_低,焦慮_低,自學_高}",0.09008,4504
"{AI時數_低,GPA_下降,依賴_低}",0.08998,4499
"{依賴_低,政策=Allowed_With_Citation,焦慮_中}",0.08998,4499
"{AI時數_低,付費=否,倦怠=Medium}",0.08994,4497
"{依賴_低,政策=Allowed_With_Citation,自學_中}",0.0898,4490
"{付費=是,倦怠=Medium,政策=Allowed_With_Citation}",0.0894,4470
"{GPA_上升,依賴_高}",0.0891,4455
"{付費=否,依賴_低,技能=Advanced}",0.08894,4447
"{AI時數_低,技能=Advanced}",0.08886,4443
"{GPA_上升,依賴_低,政策=Allowed_With_Citation}",0.08884,4442
"{付費=是,年級=Senior}",0.0888,4440
"{AI時數_高,自學_高}",0.0888,4440
"{倦怠=Medium,年級=Freshman}",0.08876,4438
"{倦怠=Low,技能=Advanced}",0.0885,4425
"{倦怠=Medium,政策=Allowed_With_Citation,焦慮_低}",0.08846,4423
"{付費=是,依賴_低,倦怠=Medium}",0.08842,4421
"{GPA_上升,焦慮_高}",0.0883,4415
"{AI時數_低,付費=是,依賴_低}",0.08828,4414
"{GPA_下降,主修=Business}",0.08826,4413
"{倦怠=High,技能=Intermediate}",0.08814,4407
"{主修=STEM,政策=Actively_Encouraged}",0.08808,4404
"{依賴_高,自學_中}",0.088,4400
"{GPA_上升,年級=Senior}",0.08782,4391
"{技能=Intermediate,用途=Debugging/Troubleshooting}",0.08782,4391
"{依賴_低,技能=Intermediate,焦慮_低}",0.08744,4372
"{付費=否,倦怠=Medium,技能=Intermediate}",0.08734,4367
"{主修=Business,技能=Intermediate}",0.08694,4347
"{依賴_低,倦怠=Low,自學_高}",0.08688,4344
"{AI時數_高,依賴_高,焦慮_高}",0.08684,4342
"{付費=否,倦怠=Medium,自學_高}",0.08672,4336
"{GPA_持平,依賴_高}",0.08658,4329
"{GPA_下降,依賴_低,政策=Allowed_With_Citation}",0.08648,4324
"{付費=否,技能=Beginner,焦慮_低}",0.08646,4323
"{主修=Humanities,倦怠=Medium}",0.0863,4315
"{主修=STEM,倦怠=Low}",0.08626,4313
"{AI時數_低,GPA_持平,依賴_低}",0.0861,4305
"{主修=STEM,付費=否,依賴_低}",0.08608,4304
"{AI時數_低,用途=Copywriting/Drafting}",0.086,4300
"{焦慮_高,自學_高}",0.08584,4292
"{依賴_低,倦怠=Medium,技能=Beginner}",0.08578,4289
"{付費=否,倦怠=Medium,焦慮_中}",0.08568,4284
"{年級=Junior,焦慮_低}",0.08552,4276
"{政策=Allowed_With_Citation,用途=Summarizing_Reading}",0.08546,4273
"{GPA_持平,用途=Copywriting/Drafting}",0.08522,4261
"{GPA_下降,倦怠=High}",0.08502,4251
"{GPA_持平,付費=否,倦怠=Medium}",0.08492,4246
"{GPA_上升,倦怠=High}",0.08478,4239
"{主修=Business,焦慮_中}",0.08476,4238
"{付費=否,年級=Graduate}",0.08474,4237
"{年級=Freshman,焦慮_低}",0.08452,4226
"{GPA_持平,技能=Advanced}",0.08452,4226
"{主修=STEM,付費=否,用途=Debugging/Troubleshooting}",0.08446,4223
"{AI時數_中,主修=Business}",0.08438,4219
"{技能=Intermediate,用途=Copywriting/Drafting}",0.08428,4214
"{GPA_下降,依賴_低,自學_低}",0.08406,4203
"{AI時數_低,付費=否,依賴_低,政策=Allowed_With_Citation}",0.08404,4202
"{付費=否,依賴_低,用途=Copywriting/Drafting}",0.08398,4199
"{GPA_持平,依賴_低,焦慮_低}",0.08398,4199
"{AI時數_低,付費=否,依賴_低,倦怠=Low}",0.08396,4198
"{主修=Business,付費=否,依賴_低}",0.08392,4196
"{主修=Business,自學_中}",0.0839,4195
"{AI時數_低,依賴_低,焦慮_中}",0.0839,4195
"{主修=Business,倦怠=Low}",0.08386,4193
"{用途=Debugging/Troubleshooting,自學_低}",0.08384,4192
"{GPA_持平,主修=Business}",0.08378,4189
"{AI時數_低,主修=Business}",0.0836,4180
"{依賴_低,倦怠=Low,技能=Beginner}",0.08358,4179
"{主修=Business,自學_低}",0.0835,4175
"{付費=是,年級=Sophomore}",0.08348,4174
"{GPA_上升,政策=Allowed_With_Citation,自學_高}",0.08344,4172
"{主修=Business,自學_高}",0.08336,4168
"{AI時數_中,用途=Copywriting/Drafting}",0.08334,4167
"{AI時數_低,依賴_低,自學_中}",0.0833,4165
"{GPA_上升,依賴_低,焦慮_低}",0.08328,4164
"{依賴_低,政策=Allowed_With_Citation,自學_低}",0.08328,4164
"{焦慮_中,用途=Debugging/Troubleshooting}",0.0832,4160
"{AI時數_低,付費=否,自學_高}",0.08314,4157
"{依賴_低,焦慮_低,自學_中}",0.08308,4154
"{焦慮_中,用途=Copywriting/Drafting}",0.08288,4144
"{GPA_上升,年級=Junior}",0.08284,4142
"{倦怠=High,自學_中}",0.08284,4142
"{AI時數_高,主修=Business}",0.08278,4139
"{GPA_上升,付費=否,倦怠=Medium}",0.08268,4134
"{GPA_下降,政策=Allowed_With_Citation,自學_低}",0.08262,4131
"{技能=Beginner,用途=Debugging/Troubleshooting}",0.08256,4128
"{主修=STEM,付費=否,政策=Allowed_With_Citation}",0.08256,4128
"{付費=否,倦怠=Medium,自學_中}",0.08248,4124
"{技能=Beginner,用途=Ideation}",0.08242,4121
"{付費=是,政策=Allowed_With_Citation,焦慮_低}",0.08232,4116
"{年級=Freshman,技能=Beginner}",0.08228,4114
"{技能=Advanced,政策=Actively_Encouraged}",0.08228,4114
"{GPA_下降,依賴_低,焦慮_低}",0.08228,4114
"{GPA_下降,付費=否,倦怠=Medium}",0.08222,4111
"{年級=Senior,焦慮_低}",0.0822,4110
"{AI時數_低,倦怠=Low,政策=Allowed_With_Citation}",0.0822,4110
"{付費=否,焦慮_低,自學_高}",0.08216,4108
"{年級=Junior,技能=Beginner}",0.08214,4107
"{倦怠=Medium,年級=Sophomore}",0.08204,4102
"{付費=是,政策=Strict_Ban}",0.082,4100
"{焦慮_低,用途=Ideation}",0.08194,4097
"{依賴_低,倦怠=Medium,技能=Intermediate}",0.08168,4084
"{付費=否,技能=Intermediate,焦慮_低}",0.08162,4081
"{倦怠=Low,用途=Copywriting/Drafting}",0.08152,4076
"{AI時數_低,付費=否,技能=Beginner}",0.08152,4076
"{倦怠=High,焦慮_中}",0.0815,4075
"{用途=Copywriting/Drafting,自學_中}",0.08148,4074
"{付費=是,依賴_低,倦怠=Low}",0.08146,4073
"{AI時數_中,付費=否,技能=Beginner}",0.0814,4070
"{用途=Debugging/Troubleshooting,自學_高}",0.08134,4067
