"antecedents_str","consequents_str","support","confidence","lift"
"{依賴_高,自學_低}","{倦怠=High}",0.05662,0.542857142857143,2.1736892082051
"{主修=Humanities,付費=否}","{用途=Copywriting/Drafting}",0.06252,0.520392874979191,2.16631785438011
"{GPA_上升,用途=Debugging/Troubleshooting}","{主修=STEM}",0.06796,0.652332501439816,2.16592237678404
"{主修=Humanities}","{用途=Copywriting/Drafting}",0.10376,0.519111466880128,2.16098354375209
"{主修=Humanities,政策=Allowed_With_Citation}","{用途=Copywriting/Drafting}",0.05258,0.519052319842053,2.16073732346205
"{AI時數_高,用途=Debugging/Troubleshooting}","{依賴_高}",0.05352,0.578970142795327,2.15856439786491
"{主修=STEM,自學_高}","{用途=Debugging/Troubleshooting}",0.0512,0.528925619834711,2.15097852718467
"{用途=Debugging/Troubleshooting,自學_低}","{主修=STEM}",0.0543,0.647662213740458,2.15041574387562
"{GPA_下降,依賴_高}","{AI時數_高}",0.06602,0.713421223254809,2.14060616675111
"{主修=Humanities,依賴_低}","{用途=Copywriting/Drafting}",0.05998,0.513791331163269,2.13883661295175
"{主修=STEM,倦怠=High}","{依賴_高}",0.0517,0.572282488377241,2.13363093124018
"{主修=STEM,依賴_高}","{倦怠=High}",0.0517,0.530909837749024,2.12585023524075
"{付費=是,倦怠=High}","{依賴_高}",0.07288,0.569552985307909,2.12345457202263
"{AI時數_高,主修=STEM}","{倦怠=High}",0.06738,0.529633705392234,2.12074039157618
"{主修=STEM,焦慮_中}","{用途=Debugging/Troubleshooting}",0.05188,0.52109280835677,2.11912488148341
"{技能=Intermediate,用途=Debugging/Troubleshooting}","{主修=STEM}",0.05586,0.636073787292189,2.11193899758347
"{依賴_高,技能=Advanced}","{AI時數_高}",0.0528,0.703812316715543,2.11177483412009
"{依賴_高,政策=Actively_Encouraged}","{AI時數_高}",0.0567,0.703473945409429,2.11075955775753
"{主修=STEM,倦怠=Medium}","{用途=Debugging/Troubleshooting}",0.06466,0.519023920372451,2.11071134759029
"{依賴_高,焦慮_高}","{倦怠=High}",0.05928,0.527027027027027,2.11030282304407
"{倦怠=High,自學_低}","{AI時數_高}",0.073,0.703140050086688,2.1097577114939
"{主修=STEM,付費=是}","{用途=Debugging/Troubleshooting}",0.0714,0.518593840790238,2.10896234562927
"{主修=STEM,技能=Advanced}","{用途=Debugging/Troubleshooting}",0.05256,0.518036664695447,2.10669648107136
"{用途=Debugging/Troubleshooting}","{主修=STEM}",0.15586,0.633834892232615,2.10450525344517
"{主修=STEM}","{用途=Debugging/Troubleshooting}",0.15586,0.517497841822166,2.10450525344517
"{主修=STEM,政策=Allowed_With_Citation}","{用途=Debugging/Troubleshooting}",0.07876,0.517341040462428,2.10386759033114
"{主修=STEM,焦慮_低}","{用途=Debugging/Troubleshooting}",0.05674,0.517134524243529,2.1030277521087
"{主修=STEM,依賴_高}","{用途=Debugging/Troubleshooting}",0.05032,0.516738550010269,2.10141744615807
"{主修=STEM,付費=否}","{用途=Debugging/Troubleshooting}",0.08446,0.516574923547401,2.10075202743961
"{AI時數_高,政策=Actively_Encouraged}","{依賴_高}",0.0567,0.563170441001192,2.09965864216386
"{主修=STEM,依賴_低}","{用途=Debugging/Troubleshooting}",0.07424,0.516272600834492,2.09952257354409
"{AI時數_高,技能=Intermediate}","{依賴_高}",0.06584,0.562542720437457,2.09731832241241
"{倦怠=Medium,用途=Debugging/Troubleshooting}","{主修=STEM}",0.06466,0.63156866575503,2.09698076152145
"{政策=Allowed_With_Citation,用途=Debugging/Troubleshooting}","{主修=STEM}",0.07876,0.631089743589744,2.09539060890412
"{主修=STEM,技能=Intermediate}","{用途=Debugging/Troubleshooting}",0.05586,0.515028581965702,2.09446352975072
"{AI時數_高,政策=Allowed_With_Citation}","{依賴_高}",0.0946,0.561357702349869,2.09290023991451
"{依賴_高,自學_中}","{AI時數_高}",0.06132,0.696818181818182,2.09078907170602
"{AI時數_高,技能=Beginner}","{依賴_高}",0.06762,0.560789517332891,2.09078188551522
"{用途=Debugging/Troubleshooting,自學_高}","{主修=STEM}",0.0512,0.629456601917876,2.0899681317414
"{主修=STEM,自學_低}","{用途=Debugging/Troubleshooting}",0.0543,0.513426626323752,2.08794886670904
"{AI時數_高,主修=STEM}","{用途=Debugging/Troubleshooting}",0.06528,0.513126866844836,2.08672983670124
"{GPA_上升,依賴_高}","{AI時數_高}",0.06194,0.695173961840629,2.08585562242147
"{付費=是,依賴_高}","{倦怠=High}",0.07288,0.520794626268401,2.08534726623048
"{依賴_高}","{AI時數_高}",0.18626,0.694429945567072,2.08362321641584
"{AI時數_高}","{依賴_高}",0.18626,0.558869419107057,2.08362321641584
"{依賴_高,政策=Allowed_With_Citation}","{AI時數_高}",0.0946,0.69344670869374,2.08067303376662
"{AI時數_高,GPA_下降}","{倦怠=High}",0.0579,0.519468867755248,2.08003871128073
"{依賴_高,技能=Beginner}","{AI時數_高}",0.06762,0.692402211755069,2.07753904151185
"{主修=STEM,自學_中}","{用途=Debugging/Troubleshooting}",0.05036,0.510646927600892,2.07664468320818
"{技能=Advanced,用途=Debugging/Troubleshooting}","{GPA_上升}",0.05214,0.69041313559322,2.07331271949916
"{用途=Debugging/Troubleshooting,自學_中}","{主修=STEM}",0.05036,0.62388503468781,2.07146900420948
"{焦慮_中,用途=Debugging/Troubleshooting}","{主修=STEM}",0.05188,0.623557692307692,2.07038213794971
"{AI時數_高,自學_中}","{依賴_高}",0.06132,0.555032585083273,2.06931841429898
"{依賴_高,技能=Intermediate}","{AI時數_高}",0.06584,0.68913544065313,2.06773715990497
"{AI時數_高,焦慮_中}","{依賴_高}",0.05996,0.553340716131414,2.06301064846549
"{AI時數_高,技能=Advanced}","{依賴_高}",0.0528,0.551954840058541,2.05784371060525
"{AI時數_高,付費=是}","{倦怠=High}",0.09648,0.512809609864994,2.05337394836628
"{AI時數_高,GPA_持平}","{依賴_高}",0.0583,0.549792531120332,2.04978201148435
"{GPA_下降,倦怠=High}","{AI時數_高}",0.0579,0.681016231474947,2.04337563452637
"{焦慮_低,用途=Debugging/Troubleshooting}","{主修=STEM}",0.05674,0.612742980561555,2.03447433614966
"{倦怠=High,自學_低}","{依賴_高}",0.05662,0.545366981313812,2.03328231046832
"{付費=否,用途=Debugging/Troubleshooting}","{主修=STEM}",0.08446,0.612117698217133,2.03239822769484
"{GPA_持平,依賴_高}","{AI時數_高}",0.0583,0.673365673365673,2.02042028734299
"{AI時數_高,GPA_上升}","{依賴_高}",0.06194,0.534980134738297,1.99455720952314
"{依賴_低,用途=Debugging/Troubleshooting}","{主修=STEM}",0.07424,0.598999515894788,1.98884227337402
"{依賴_高,焦慮_中}","{AI時數_高}",0.05996,0.65962596259626,1.97919455891821
"{倦怠=High}","{AI時數_高}",0.16276,0.651717786497958,1.95546623409133
"{AI時數_高,付費=否}","{依賴_高}",0.0754,0.519498415323136,1.93683698204137
"{倦怠=High,技能=Beginner}","{AI時數_高}",0.05856,0.642527978933509,1.92789239958446
"{倦怠=High,技能=Intermediate}","{AI時數_高}",0.05662,0.64238711141366,1.92746972939768
"{倦怠=High,自學_中}","{AI時數_高}",0.05276,0.636890391115403,1.91097692965495
"{GPA_上升,倦怠=High}","{AI時數_高}",0.05398,0.636706770464732,1.91042597955092
"{GPA_持平,倦怠=High}","{AI時數_高}",0.05088,0.636477358018514,1.90973763207667
"{倦怠=High,政策=Allowed_With_Citation}","{AI時數_高}",0.07636,0.635168857095325,1.90581150112616
"{倦怠=High,政策=Allowed_With_Citation}","{依賴_高}",0.06046,0.502911329229745,1.87499563503745
"{倦怠=High}","{依賴_高}",0.12506,0.500760791222872,1.86697782127683
"{倦怠=High,焦慮_中}","{AI時數_高}",0.0506,0.620858895705521,1.8628747470761
"{付費=是,焦慮_高}","{AI時數_高}",0.07768,0.607159606065343,1.82177030144426
"{AI時數_高,依賴_高,倦怠=High}","{焦慮_高}",0.05514,0.502094336186487,1.8170756231416
"{GPA_上升,用途=Debugging/Troubleshooting}","{技能=Advanced}",0.05214,0.500479938567863,1.81215127296641
"{依賴_高,倦怠=Medium}","{AI時數_高}",0.06038,0.600079507056251,1.80052660542562
"{依賴_低,倦怠=Low,自學_高}","{AI時數_低}",0.05152,0.593001841620626,1.77609273278012
"{依賴_低,倦怠=Low,焦慮_低}","{AI時數_低}",0.06336,0.589944134078212,1.76693462944235
"{付費=否,依賴_高}","{AI時數_高}",0.0754,0.587776738384783,1.76361239313725
"{付費=否,依賴_低,倦怠=Low}","{AI時數_低}",0.08396,0.587132867132867,1.75851463739328
"{主修=STEM,焦慮_高}","{AI時數_高}",0.05374,0.584766050054407,1.75457888278447
"{依賴_低,倦怠=Low,政策=Allowed_With_Citation}","{AI時數_低}",0.0643,0.571555555555556,1.71185921754989
"{技能=Advanced,自學_高}","{GPA_上升}",0.0522,0.568256041802743,1.70647460000824
"{依賴_低,倦怠=Low}","{AI時數_低}",0.12786,0.569633787757284,1.70610335377167
"{AI時數_低,自學_低}","{GPA_下降}",0.05462,0.568011647254576,1.70175459061231
"{焦慮_高,自學_低}","{AI時數_高}",0.05524,0.562984101100693,1.68922257891471
"{AI時數_高,GPA_下降}","{自學_低}",0.0627,0.56253364435672,1.68514062775364
"{AI時數_低,GPA_上升}","{自學_高}",0.0558,0.560016057808109,1.68142694351801
"{GPA_下降,依賴_高}","{自學_低}",0.05146,0.556083855629998,1.66581947046312
"{GPA_上升,倦怠=Low}","{自學_高}",0.05726,0.552809422668469,1.65978929522749
"{AI時數_低,依賴_低,自學_高}","{倦怠=Low}",0.05152,0.535773710482529,1.63654991289184
"{付費=否,倦怠=High}","{AI時數_高}",0.06628,0.544260141238299,1.63304171038856
"{主修=STEM,付費=是}","{AI時數_高}",0.07484,0.543579314352121,1.63099890288082
"{技能=Beginner,自學_低}","{GPA_下降}",0.0672,0.543074187813157,1.62704232672166
"{技能=Intermediate,自學_低}","{GPA_下降}",0.06324,0.53593220338983,1.60564504580811
"{依賴_低,年級=Freshman}","{倦怠=Low}",0.06216,0.524911332545178,1.60337018921491
"{付費=否,依賴_低,自學_低}","{GPA_下降}",0.0545,0.532642689601251,1.59578971059156
"{GPA_下降,付費=否,依賴_低}","{AI時數_低}",0.06008,0.531305270604882,1.59130606986007
"{付費=否,依賴_低,自學_高}","{AI時數_低}",0.06276,0.531054323912676,1.59055446241966
"{AI時數_低,自學_高}","{倦怠=Low}",0.0664,0.520376175548589,1.58951730572604
"{倦怠=Low,焦慮_低}","{AI時數_低}",0.07562,0.528367803242035,1.58250809644793
"{GPA_下降,倦怠=Low}","{AI時數_低}",0.05864,0.527812781278128,1.58084575679324
"{GPA_上升,付費=否,依賴_低}","{自學_高}",0.05538,0.525626423690205,1.57817337323667
"{主修=STEM,自學_高}","{GPA_上升}",0.0507,0.523760330578512,1.57285384558112
"{付費=是,自學_低}","{AI時數_高}",0.077,0.524166099387338,1.57274993815212
"{AI時數_低,倦怠=Low,焦慮_低}","{依賴_低}",0.06336,0.837873578418408,1.57170057853763
"{倦怠=Low,自學_高}","{AI時數_低}",0.0664,0.523494165878272,1.56791112339245
"{AI時數_低,付費=否,依賴_低}","{倦怠=Low}",0.08396,0.51320293398533,1.56760624957337
"{付費=否,倦怠=Low,政策=Allowed_With_Citation}","{AI時數_低}",0.0543,0.523222200809405,1.56709656406315
"{AI時數_低,依賴_低,焦慮_低}","{倦怠=Low}",0.06336,0.51138014527845,1.56203844241692
"{AI時數_中,自學_高}","{GPA_上升}",0.06056,0.519115378021601,1.55890503910391
"{GPA_上升,技能=Beginner}","{自學_高}",0.05628,0.518518518518518,1.55683215792505
"{付費=否,倦怠=Low}","{AI時數_低}",0.1064,0.518215468536918,1.55210096003629
"{GPA_上升,技能=Intermediate}","{自學_高}",0.0547,0.516915516915517,1.55201920649588
"{AI時數_低,依賴_低}","{倦怠=Low}",0.12786,0.50762267746546,1.55056105279938
"{付費=否,依賴_低,焦慮_低}","{AI時數_低}",0.08096,0.51698595146871,1.54841844815116
"{GPA_上升,依賴_低}","{自學_高}",0.09076,0.515564644399,1.54796326307272
"{AI時數_中,GPA_上升}","{自學_高}",0.06056,0.515053580540908,1.54642881324959
"{付費=否,自學_低}","{GPA_下降}",0.09648,0.51615664455382,1.54639776066217
"{GPA_下降,焦慮_高}","{自學_低}",0.0501,0.515220074043603,1.54340684813254
"{GPA_下降,焦慮_高}","{AI時數_高}",0.05,0.514191690662279,1.5428219234946
"{主修=STEM,技能=Advanced}","{GPA_上升}",0.05208,0.513305736250739,1.54145866741964
"{AI時數_低,GPA_持平}","{倦怠=Low}",0.05726,0.502104524728166,1.53370555540401
"{GPA_下降,付費=是}","{自學_低}",0.07072,0.511870295309786,1.533372162572
"{主修=Humanities,依賴_低}","{AI時數_低}",0.05972,0.511564159671064,1.53217970429814
"{GPA_下降,依賴_低}","{AI時數_低}",0.08998,0.511540648095509,1.53210928505903
"{AI時數_低,依賴_低,政策=Allowed_With_Citation}","{倦怠=Low}",0.0643,0.501403618215845,1.5315645983745
"{焦慮_高,自學_低}","{GPA_下降}",0.0501,0.510599266204647,1.52974793637919
"{依賴_低,自學_低}","{GPA_下降}",0.08406,0.510196649672251,1.52854170313455
"{GPA_上升,付費=否}","{自學_高}",0.0946,0.50882099827883,1.52771572172831
"{主修=STEM,自學_低}","{AI時數_高}",0.0538,0.508698940998487,1.52634103756147
"{付費=是,自學_高}","{GPA_上升}",0.06858,0.508,1.52552552552553
"{GPA_上升,焦慮_低}","{自學_高}",0.06602,0.507846153846154,1.5247887883449
"{GPA_下降,政策=Allowed_With_Citation}","{自學_低}",0.08262,0.508994578610153,1.52475758974942
"{AI時數_低,付費=否,焦慮_低}","{依賴_低}",0.08096,0.812688215217828,1.52445735362564
"{依賴_低,自學_高}","{AI時數_低}",0.09616,0.508836913959149,1.52401136324173
"{GPA_持平,倦怠=Low}","{AI時數_低}",0.05726,0.508074534161491,1.52172796861594
"{AI時數_低,政策=Allowed_With_Citation,焦慮_低}","{依賴_低}",0.06284,0.811048012390294,1.52138062725623
"{付費=否,依賴_低,技能=Intermediate}","{AI時數_低}",0.05946,0.507944643772424,1.52133893546311
"{倦怠=Low,技能=Intermediate}","{AI時數_低}",0.05916,0.507462686567164,1.51989543119433
"{AI時數_低,焦慮_低}","{依賴_低}",0.1239,0.809803921568627,1.51904693597567
"{倦怠=Medium,自學_高}","{GPA_上升}",0.07236,0.505519072236971,1.51807529200292
"{付費=否,依賴_低,政策=Allowed_With_Citation}","{AI時數_低}",0.08404,0.504562920268972,1.51121037579062
"{GPA_下降,焦慮_中}","{自學_低}",0.05576,0.502614025599423,1.50564383679655
"{GPA_下降,技能=Beginner}","{自學_低}",0.0672,0.502392344497608,1.50497976303879
"{GPA_下降,倦怠=Medium}","{自學_低}",0.06904,0.50152549760279,1.5023830136085
"{GPA_上升,倦怠=Medium}","{自學_高}",0.07236,0.500276548672566,1.50206133631348
"{倦怠=Medium,自學_低}","{GPA_下降}",0.06904,0.500870574579222,1.50060091850687
"{GPA_下降}","{自學_低}",0.1672,0.500928755467673,1.50059539712322
"{自學_低}","{GPA_下降}",0.1672,0.500868731651788,1.50059539712322
"{AI時數_低,倦怠=Medium,焦慮_低}","{依賴_低}",0.05034,0.799047619047619,1.49887004135738
"{AI時數_低,付費=否,倦怠=Low}","{依賴_低}",0.08396,0.789097744360902,1.48020586074077
"{AI時數_低,倦怠=Low}","{依賴_低}",0.12786,0.785766961651917,1.47395790968283
"{AI時數_低,倦怠=Low,政策=Allowed_With_Citation}","{依賴_低}",0.0643,0.782238442822384,1.46733904112246
"{AI時數_低,倦怠=Low,自學_高}","{依賴_低}",0.05152,0.775903614457831,1.45545603912555
"{AI時數_高,依賴_高,倦怠=High}","{付費=是}",0.06728,0.612638863594974,1.44804496453383
"{AI時數_低,主修=Humanities}","{依賴_低}",0.05972,0.767017724120216,1.43878770234518
"{AI時數_高,依賴_高,焦慮_高}","{付費=是}",0.05274,0.60732381391064,1.43548221119089
"{AI時數_低,付費=否,技能=Intermediate}","{依賴_低}",0.05946,0.763678397123041,1.43252372373484
"{AI時數_低,技能=Intermediate}","{依賴_低}",0.09122,0.762709030100334,1.43070536503533
"{AI時數_低,付費=否,自學_中}","{依賴_低}",0.0538,0.761392584206057,1.42823594861388
"{AI時數_低,用途=Debugging/Troubleshooting}","{依賴_低}",0.05686,0.761178045515395,1.42783351250309
"{AI時數_低,GPA_上升}","{依賴_低}",0.0758,0.760738659173023,1.42700930251927
"{AI時數_低,付費=否,技能=Beginner}","{依賴_低}",0.062,0.760549558390579,1.42665458336256
"{AI時數_低,年級=Senior}","{依賴_低}",0.05404,0.759628900759067,1.42492759474595
"{AI時數_低,用途=Copywriting/Drafting}","{依賴_低}",0.06524,0.758604651162791,1.42300628618044
"{AI時數_低,年級=Junior}","{依賴_低}",0.05602,0.758461955050095,1.42273861386249
"{AI時數_低,付費=否,政策=Allowed_With_Citation}","{依賴_低}",0.08404,0.758346868796246,1.42252273268851
"{AI時數_低,付費=否}","{依賴_低}",0.1636,0.756986859152323,1.41997159848494
"{AI時數_低,GPA_持平,付費=否}","{依賴_低}",0.0556,0.756668481219379,1.41937437857696
"{AI時數_低,自學_中}","{依賴_低}",0.0833,0.756447511805303,1.41895987958226
"{AI時數_高,依賴_高,政策=Allowed_With_Citation}","{付費=是}",0.05678,0.600211416490486,1.41867121227779
"{付費=否,倦怠=Low,焦慮_低}","{依賴_低}",0.0683,0.755698163310467,1.41755423618546
"{AI時數_低,GPA_持平}","{依賴_低}",0.0861,0.754998246229393,1.41624131725641
"{AI時數_低,付費=否,自學_高}","{依賴_低}",0.06276,0.754871301419293,1.41600319155748
"{AI時數_低}","{依賴_低}",0.25188,0.754402779441716,1.41512432834687
"{AI時數_低,政策=Allowed_With_Citation}","{依賴_低}",0.12824,0.754264204211269,1.41486438606503
"{AI時數_低,GPA_下降,付費=否}","{依賴_低}",0.06008,0.754205372834547,1.41475402895244
"{AI時數_低,主修=Business}","{依賴_低}",0.06302,0.753827751196172,1.41404567847716
"{AI時數_低,自學_高}","{依賴_低}",0.09616,0.753605015673981,1.41362786658034
"{AI時數_低,年級=Freshman}","{依賴_低}",0.05572,0.753380205516495,1.41320616303976
"{AI時數_低,自學_低}","{依賴_低}",0.07242,0.753119800332779,1.41271768961317
"{AI時數_低,技能=Beginner}","{依賴_低}",0.09444,0.752989953755382,1.41247412071916
"{AI時數_低,用途=Ideation}","{依賴_低}",0.05404,0.752436647173489,1.41143621679514
"{AI時數_低,主修=STEM}","{依賴_低}",0.06072,0.750741839762611,1.40825706201953
"{倦怠=Low,焦慮_低}","{依賴_低}",0.1074,0.75041922861934,1.40765190136811
"{AI時數_高,依賴_高}","{付費=是}",0.11086,0.59518952002577,1.40680136150556
"{AI時數_低,付費=是}","{依賴_低}",0.08828,0.749660326086957,1.40622833631018
"{AI時數_低,政策=Actively_Encouraged}","{依賴_低}",0.07496,0.749150509694184,1.40527201218192
"{AI時數_低,GPA_下降}","{依賴_低}",0.08998,0.748585690515807,1.40421251269144
"{AI時數_高,倦怠=High}","{付費=是}",0.09648,0.592774637503072,1.40109349887272
"{AI時數_低,技能=Advanced}","{依賴_低}",0.06622,0.745217195588566,1.39789382027493
"{AI時數_高,主修=STEM}","{付費=是}",0.07484,0.588272284232039,1.39045165035464
"{AI時數_低,倦怠=Medium,政策=Allowed_With_Citation}","{依賴_低}",0.05294,0.740212527964206,1.38850596129095
"{AI時數_低,付費=否,焦慮_中}","{依賴_低}",0.05396,0.739380652233489,1.38694551159912
"{AI時數_低,付費=否,倦怠=Medium}","{依賴_低}",0.06642,0.738492328218812,1.38527917504936
"{AI時數_高,焦慮_高}","{付費=是}",0.07768,0.585380557648832,1.38361670995753
"{AI時數_低,倦怠=Medium}","{依賴_低}",0.1029,0.736894872529361,1.38228263464521
"{AI時數_低,焦慮_中}","{依賴_低}",0.0839,0.736611062335382,1.38175025761655
"{依賴_高,倦怠=High}","{付費=是}",0.07288,0.582760275067967,1.37742335980894
"{倦怠=Low,政策=Allowed_With_Citation,焦慮_低}","{依賴_低}",0.05322,0.731848184818482,1.37281595351432
"{AI時數_高,用途=Debugging/Troubleshooting}","{付費=是}",0.05346,0.578321073128516,1.36693077698902
"{AI時數_高,GPA_上升}","{付費=是}",0.0669,0.577820003454828,1.36574643910095
"{AI時數_高,自學_低}","{付費=是}",0.077,0.574626865671642,1.35819907741241
"{AI時數_高,技能=Advanced}","{付費=是}",0.05488,0.573698515575998,1.35600481132646
"{主修=Humanities,倦怠=Low}","{依賴_低}",0.05166,0.71630615640599,1.34366189534044
"{AI時數_高,技能=Intermediate}","{付費=是}",0.06642,0.567498291182502,1.34134984206888
"{AI時數_高,政策=Allowed_With_Citation}","{付費=是}",0.09542,0.566223593638737,1.3383369425138
"{AI時數_高,GPA_下降}","{付費=是}",0.06304,0.565584066032657,1.33682534280197
"{AI時數_高}","{付費=是}",0.18814,0.564510321651464,1.33428741999495
"{GPA_下降,付費=否,倦怠=Low}","{依賴_低}",0.05104,0.708495280399778,1.32901009266512
"{AI時數_高,政策=Actively_Encouraged}","{付費=是}",0.0563,0.559197457290425,1.32172983192405
"{AI時數_高,自學_中}","{付費=是}",0.06172,0.558653149891383,1.32044329651929
"{AI時數_高,焦慮_中}","{付費=是}",0.06052,0.558508674787745,1.32010181239422
"{主修=STEM,依賴_高}","{付費=是}",0.05432,0.557814746354488,1.31846162984421
"{倦怠=High,焦慮_高}","{付費=是}",0.05244,0.557279489904357,1.31719648743584
"{倦怠=Low,用途=Copywriting/Drafting}","{依賴_低}",0.05716,0.701177625122669,1.31528348362909
"{主修=STEM,倦怠=High}","{付費=是}",0.05022,0.555899933584237,1.31393574166644
"{付費=否,倦怠=Low,技能=Intermediate}","{依賴_低}",0.05162,0.698889791497428,1.31099191802181
"{付費=否,倦怠=Low,技能=Beginner}","{依賴_低}",0.05376,0.698544698544699,1.31034458552748
"{AI時數_高,技能=Beginner}","{付費=是}",0.06684,0.554320782882733,1.31020323079024
"{付費=否,倦怠=Low}","{依賴_低}",0.143,0.696473796999805,1.30645994560084
"{付費=否,倦怠=Low,自學_高}","{依賴_低}",0.05518,0.693390299070118,1.30067585644367
"{依賴_高,焦慮_高}","{付費=是}",0.06176,0.549075391180654,1.29780512238975
"{AI時數_高,GPA_持平}","{付費=是}",0.0582,0.548849490758204,1.2972711798199
"{GPA_持平,倦怠=Low}","{依賴_低}",0.07788,0.691038154392192,1.29626365483435
"{依賴_高,自學_低}","{付費=是}",0.0572,0.548418024928092,1.29625135891106
"{GPA_下降,倦怠=Low}","{依賴_低}",0.07666,0.69000900090009,1.29433314743967
"{付費=否,倦怠=Low,政策=Allowed_With_Citation}","{依賴_低}",0.07154,0.689342840624398,1.29308355022397
"{倦怠=Low,技能=Intermediate}","{依賴_低}",0.08012,0.687253388231257,1.28916411223271
"{倦怠=Low,自學_中}","{依賴_低}",0.07446,0.687027126776158,1.28873968631806
"{GPA_下降,付費=否,焦慮_低}","{依賴_低}",0.05368,0.686620619084165,1.28797715078628
"{倦怠=Low,技能=Advanced}","{依賴_低}",0.06076,0.686553672316384,1.28785157065538
